Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/03/2022,09/04/2022,PAYPAL *FUNIMATION,Entertainment,Sale,-7.99,
09/01/2022,09/02/2022,BARK&amp;CO (BARKBOX),Shopping,Sale,-28.80,
09/01/2022,09/01/2022,SKILLSHARE,Education,Sale,-99.00,
08/30/2022,08/30/2022,Tesla Inc Supercharger,Automotive,Sale,-9.28,
08/29/2022,08/29/2022,Tesla Inc Supercharger,Automotive,Sale,-2.90,
08/27/2022,08/28/2022,Tesla Inc Supercharger,Automotive,Sale,-14.50,
08/27/2022,08/28/2022,Tesla Inc Supercharger,Automotive,Sale,-6.96,
08/20/2022,08/21/2022,HLU*Hulu 1531732891140-U,Bills & Utilities,Sale,-6.00,
08/18/2022,08/18/2022,Tesla Inc Supercharger,Automotive,Sale,-16.82,
08/15/2022,08/15/2022,Tesla Insurance Services ,Bills & Utilities,Sale,-184.53,
08/13/2022,08/14/2022,TESLA  INC.,Bills & Utilities,Sale,-9.99,
08/14/2022,08/14/2022,Tesla Inc Supercharger,Automotive,Sale,-16.82,
08/06/2022,08/07/2022,Tesla Inc Supercharger,Automotive,Sale,-12.18,
08/07/2022,08/07/2022,DollarShaveClubUS,Bills & Utilities,Sale,-13.08,
08/03/2022,08/04/2022,PAYPAL *FUNIMATION,Entertainment,Sale,-7.99,
08/03/2022,08/03/2022,Tesla Inc Supercharger,Bills & Utilities,Sale,-14.50,
08/02/2022,08/02/2022,Tesla Inc Supercharger,Automotive,Sale,-8.12,
